Churn,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Mobile,PreferredLoginDevice_Phone,PreferredPaymentMode_COD,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Male,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Married,MaritalStatus_Single
1,4.0,3,6.0,3.0,3,2,9,1,11.0,1.0,1.0,5.0,160,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
1,10.189899366380917,1,8.0,3.0,4,3,7,1,15.0,0.0,1.0,0.0,121,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True
1,10.189899366380917,1,30.0,2.0,4,3,6,1,14.0,0.0,1.0,3.0,120,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True
1,0.0,3,15.0,2.0,4,5,8,0,23.0,0.0,1.0,3.0,134,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True
1,0.0,1,12.0,2.9315348837209303,3,5,3,0,11.0,1.0,1.0,3.0,130,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
1,0.0,1,22.0,3.0,5,5,2,1,22.0,4.0,6.0,7.0,139,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
1,10.189899366380917,3,11.0,2.0,3,2,4,0,14.0,0.0,1.0,0.0,121,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
1,10.189899366380917,1,6.0,3.0,3,2,3,1,16.0,2.0,2.0,0.0,123,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1,13.0,3,9.0,2.9315348837209303,4,3,2,1,14.0,0.0,1.0,2.0,127,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False
1,10.189899366380917,1,31.0,2.0,5,3,2,0,12.0,1.0,1.0,1.0,123,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True
1,4.0,1,18.0,2.0,3,3,2,0,15.707921714818266,9.0,15.0,8.0,295,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1,11.0,1,6.0,3.0,4,3,10,1,13.0,0.0,1.0,0.0,154,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
1,0.0,1,11.0,2.0,3,3,2,1,13.0,2.0,2.0,2.0,134,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True
1,0.0,1,15.0,3.0,4,3,1,1,17.0,0.0,1.0,0.0,134,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1,9.0,3,15.0,3.0,4,2,2,0,16.0,0.0,4.0,7.0,196,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
1,10.189899366380917,2,12.0,3.0,3,5,5,1,22.0,1.0,1.0,2.0,121,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False
1,0.0,1,12.0,2.9315348837209303,4,2,2,1,18.0,1.0,1.0,0.0,129,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
1,0.0,3,11.0,2.0,4,3,2,1,11.0,1.0,1.0,3.0,157,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
1,0.0,1,13.0,3.0,5,3,2,1,24.0,1.0,1.0,6.0,161,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
1,19.0,1,20.0,3.0,3,4,10,1,18.0,1.0,4.0,3.0,150,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1,0.0,3,12.0,3.0,5,3,5,1,18.0,6.0,7.0,7.0,162,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
1,20.0,1,29.0,3.0,3,2,2,0,12.0,11.0,15.0,6.0,203,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,10.189899366380917,3,28.0,2.0,3,3,2,1,19.0,0.0,1.0,0.0,117,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
1,0.0,3,26.0,3.0,5,3,4,1,11.0,1.0,2.0,2.0,146,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1,14.0,1,14.0,2.0,5,2,3,0,15.0,0.0,1.0,3.0,207,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
1,0.0,1,15.0,2.0,3,5,8,0,22.0,1.0,1.0,4.0,142,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True
0,8.0,3,6.0,3.0,3,4,2,0,13.0,1.0,1.0,6.0,173,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
0,10.189899366380917,3,12.0,2.0,3,3,3,1,20.0,0.0,4.0,5.0,123,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False
0,18.0,1,15.639895891429633,2.0,3,4,9,0,18.0,1.0,1.0,15.0,123,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
0,5.0,3,14.0,2.0,3,2,2,0,14.0,2.0,3.0,7.0,190,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0,2.0,1,6.0,2.0,3,3,2,0,13.0,0.0,1.0,9.0,143,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
0,0.0,1,13.0,2.0,4,3,3,0,17.0,1.0,1.0,0.0,161,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
0,30.0,1,15.0,3.0,4,4,5,1,20.0,1.0,1.0,0.0,133,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,13.0,3,10.0,3.0,4,2,8,0,11.0,2.0,2.0,11.0,209,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
0,10.189899366380917,3,8.0,3.0,3,3,7,0,18.0,1.0,1.0,2.0,122,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
0,0.0,1,15.639895891429633,3.0,3,2,2,0,24.0,0.0,2.0,2.0,123,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
0,10.189899366380917,1,15.0,2.0,3,4,7,0,18.0,0.0,2.0,2.0,120,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
0,1.0,1,27.0,2.9315348837209303,3,2,2,0,11.0,0.0,1.0,2.0,127,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
0,30.0,1,30.0,2.0,2,2,4,1,16.0,1.0,1.0,4.0,194,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
0,0.0,1,15.639895891429633,3.0,4,3,2,1,15.0,0.0,1.0,1.0,126,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
0,23.0,1,17.0,2.0,3,4,4,0,15.707921714818266,2.0,4.0,4.0,299,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
0,14.0,1,15.639895891429633,2.0,3,3,5,0,12.0,1.0,1.0,8.0,125,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False
